run_id,asset,timeframe,strategy,window_id,period,net_return_pct,max_drawdown_pct,trade_count,cost_drag_pct,passed
BTC_1d_grid,BTC,1d,grid,4,holdout,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,5,validation,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,5,holdout,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,6,validation,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,6,holdout,0.0,0.0,0,0.0,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,0,validation,1.9570177193374436,2.8666428597149727,3,100.00000000000497,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,0,holdout,-5.796206866226521,5.796206866226521,6,99.9999999999993,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,1,validation,1.0565517063672816,3.3864660143815235,3,99.99999999999761,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,1,holdout,-3.54806348685147,3.6796367544393207,4,99.99999999999937,True
BTC_1d_ema_crossover,BTC,1d,ema_crossover,2,validation,-4.581150637373582,5.31337700214594,5,99.99999999999955,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,2,holdout,-1.6171489338101424,2.5034910077110686,3,99.99999999999496,True
BTC_1d_ema_crossover,BTC,1d,ema_crossover,3,validation,-5.796206866226521,5.796206866226521,6,99.9999999999993,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,3,holdout,-1.4538351955647386,2.2544119745480895,2,100.00000000000264,True
BTC_1d_ema_crossover,BTC,1d,ema_crossover,4,validation,-3.54806348685147,3.6796367544393207,4,99.99999999999937,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,4,holdout,-2.105287829263682,2.2968084478258928,4,99.99999999999775,True
BTC_1d_ema_crossover,BTC,1d,ema_crossover,5,validation,-1.6171489338101424,2.5034910077110686,3,99.99999999999496,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,5,holdout,-4.135557191666294,5.671197011609644,6,100.00000000000031,True
BTC_1d_ema_crossover,BTC,1d,ema_crossover,6,validation,-1.4538351955647386,2.2544119745480895,2,100.00000000000264,False
BTC_1d_ema_crossover,BTC,1d,ema_crossover,6,holdout,-0.9223154584784424,4.09438048554274,5,100.00000000000173,True
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,0,validation,0.15951242607002314,2.4720429757387286,3,100.00000000000134,False
