asset,bh_max_drawdown_pct,bh_return_pct,calmar_like,candle_count,cost_drag_pct,data_ok,drawdown_reduction_vs_bh,fee_bps,max_drawdown_pct,overlay,risk_adjusted_alpha,run_id,sharpe_ratio,strategy,time_in_market_pct,timeframe,total_return_pct,trade_count,turnover_ratio,ulcer_index,variant
BTC,3.1836,3.3301,0.3311,6603,100.00000000000047,True,0.1546,40.0,3.029002951655607,off,-0.7683,BTC_4h_donchian_breakout_fast_off,0.7052517998483033,donchian_breakout,65.55,4h,1.0029063948346448,8,1.6143,1.4774,fast
BTC,3.1836,3.3301,0.1524,6603,100.00000000000068,True,0.1973,40.0,2.986258726503331,vol,-0.9628,BTC_4h_donchian_breakout_fast_vol,0.3524815354398508,donchian_breakout,64.74,4h,0.4550317665506895,8,1.6023,1.4487,fast
BTC,3.1836,3.3301,-0.9543,6603,100.0000000000019,True,0.4816,40.0,2.702013601656459,panic,-2.1868,BTC_4h_donchian_breakout_fast_panic,-3.2557526075948937,donchian_breakout,32.36,4h,-2.5786448696599678,20,3.2545,1.3511,fast
BTC,3.1836,3.3301,-0.9543,6603,100.0000000000019,True,0.4816,40.0,2.702013601656459,both,-2.1868,BTC_4h_donchian_breakout_fast_both,-3.2557526075948937,donchian_breakout,32.36,4h,-2.5786448696599678,20,3.2545,1.3511,fast
BTC,3.1836,3.3301,-1.0,6603,100.00000000000009,True,2.4949,40.0,0.6886846014459707,off,-5.8355,BTC_4h_atr_breakout_baseline_off,-3.7798910019892196,atr_breakout,0.42,4h,-0.6886846014459707,4,0.7953,0.364,baseline
BTC,3.1836,3.3301,-1.0,6603,100.00000000000009,True,2.4949,40.0,0.6886846014459707,vol,-5.8355,BTC_4h_atr_breakout_baseline_vol,-3.7798910019892196,atr_breakout,0.43,4h,-0.6886846014459707,4,0.7953,0.364,baseline
BTC,3.1836,3.3301,-1.0,6603,99.99999999999984,True,2.7612,40.0,0.4223606839294575,panic,-8.8845,BTC_4h_atr_breakout_baseline_panic,-3.291546478967278,atr_breakout,0.45,4h,-0.4223606839294575,4,0.4977,0.1932,baseline
BTC,3.1836,3.3301,-1.0,6603,99.99999999999984,True,2.7612,40.0,0.4223606839294575,both,-8.8845,BTC_4h_atr_breakout_baseline_both,-3.291546478967278,atr_breakout,0.45,4h,-0.4223606839294575,4,0.4977,0.1932,baseline
BTC,3.1836,3.3301,-1.0,6603,100.00000000000009,True,2.4949,40.0,0.6886846014459707,off,-5.8355,BTC_4h_atr_breakout_slow_off,-3.7798910019892196,atr_breakout,0.43,4h,-0.6886846014459707,4,0.7953,0.364,slow
BTC,3.1836,3.3301,-1.0,6603,100.00000000000009,True,2.4949,40.0,0.6886846014459707,vol,-5.8355,BTC_4h_atr_breakout_slow_vol,-3.7798910019892196,atr_breakout,0.43,4h,-0.6886846014459707,4,0.7953,0.364,slow
BTC,3.1836,3.3301,-1.0,6603,99.99999999999984,True,2.7612,40.0,0.4223606839294575,panic,-8.8845,BTC_4h_atr_breakout_slow_panic,-3.291546478967278,atr_breakout,0.45,4h,-0.4223606839294575,4,0.4977,0.1932,slow
BTC,3.1836,3.3301,-1.0,6603,99.99999999999984,True,2.7612,40.0,0.4223606839294575,both,-8.8845,BTC_4h_atr_breakout_slow_both,-3.291546478967278,atr_breakout,0.45,4h,-0.4223606839294575,4,0.4977,0.1932,slow
BTC,3.1836,3.3301,-1.0,6603,99.99999999999942,True,1.8093,40.0,1.374281969726212,off,-3.4232,BTC_4h_atr_breakout_fast_off,-4.789787606398042,atr_breakout,0.84,4h,-1.374281969726212,8,1.5874,0.5955,fast
BTC,3.1836,3.3301,-1.0,6603,99.99999999999942,True,1.8093,40.0,1.374281969726212,vol,-3.4232,BTC_4h_atr_breakout_fast_vol,-4.789787606398042,atr_breakout,0.85,4h,-1.374281969726212,8,1.5874,0.5955,fast
BTC,3.1836,3.3301,-1.0,6603,100.0000000000008,True,2.0738,40.0,1.1097966239396784,panic,-4.0006,BTC_4h_atr_breakout_fast_panic,-4.319772464167732,atr_breakout,0.9,4h,-1.1097966239396784,8,1.2913,0.4314,fast
BTC,3.1836,3.3301,-1.0,6603,100.0000000000008,True,2.0738,40.0,1.1097966239396784,both,-4.0006,BTC_4h_atr_breakout_fast_both,-4.319772464167732,atr_breakout,0.9,4h,-1.1097966239396784,8,1.2913,0.4314,fast
BTC,3.1836,3.3301,0.9785,6603,99.99999999999523,True,1.3538,40.0,1.8297812486457374,off,-0.8415,BTC_4h_trend_following_baseline_off,1.3463506970306363,trend_following,64.87,4h,1.7904333554596406,6,1.2314,0.8062,baseline
BTC,3.1836,3.3301,0.9785,6603,99.99999999999523,True,1.3538,40.0,1.8297812486457374,vol,-0.8415,BTC_4h_trend_following_baseline_vol,1.3463506970306363,trend_following,64.87,4h,1.7904333554596406,6,1.2314,0.8062,baseline
BTC,3.1836,3.3301,-0.686,6603,99.99999999999926,True,0.5384,40.0,2.645255798031966,panic,-1.9449,BTC_4h_trend_following_baseline_panic,-2.199027236605182,trend_following,41.69,4h,-1.8146390638691514,42,5.1644,1.1895,baseline
