asset,cost_drag_pct,data_ok,fee_bps,fees_usd,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
ETH,100.00000000000453,True,40.0,3.396139164328235,14.223746207484847,0.0,0,[],0.09737489292350994,5.0,0.4244926443626156,False,grid,grid,4h,1.4333479274415482,9,0.849,insufficient_trades,['trade_count=9 < 10']
ETH,100.00000000000009,True,40.0,94.35727705920215,23.01311508494842,0.8436,642,"['max_drawdown_pct', 'max_position_fraction']",-0.20771485266590212,5.0,11.794625157771264,True,ema_crossover,trend_ema_donchian,4h,-7.370180015594087,119,23.5893,blocked_risk,"['max_drawdown_pct=23.01', 'risk_denial_rate=84.36%', 'safety_stop']"
ETH,99.99999999999952,True,40.0,85.30422147463493,20.94463153086481,0.25,35,"['max_drawdown_pct', 'max_position_fraction']",-0.1013559968562928,5.0,10.662996876133064,True,donchian_breakout,trend_ema_donchian,4h,-4.367666386845599,105,21.3261,blocked_risk,"['max_drawdown_pct=20.94', 'safety_stop']"
ETH,99.99999999999947,True,40.0,75.75274158730376,16.337417688072115,0.8397,524,['max_drawdown_pct'],-1.246008639862706,5.0,9.46907738973286,True,rsi_mean_reversion,rsi_bollinger_mr,4h,-14.64565358966695,100,18.9382,blocked_risk,"['max_drawdown_pct=16.34', 'risk_denial_rate=83.97%', 'safety_stop']"
ETH,100.00000000000017,True,40.0,100.4863938877495,17.1905291183728,0.6049,199,['max_drawdown_pct'],-0.992618531924062,5.0,12.560793354167885,True,bollinger_mean_reversion,rsi_bollinger_mr,4h,-13.657438543237765,130,25.1216,blocked_risk,"['max_drawdown_pct=17.19', 'risk_denial_rate=60.49%', 'safety_stop']"
ETH,100.00000000000031,True,40.0,54.23968264674268,2.220518446525475,0.0,0,[],-0.1307945968723364,5.0,6.779974031139886,False,atr_breakout,breakout_atr,4h,-0.6218465213039395,68,13.5599,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000058,True,40.0,97.07334248822337,13.015520672152764,0.0,0,[],-0.632771182438015,5.0,12.134172621895303,False,trend_following,trend_ema_donchian,1h,-8.996404019255237,166,24.2683,blocked_costs,['cost_drag_pct=100.00']
ETH,99.99999999999999,True,40.0,100.04648720941917,10.522803551436628,0.0,0,[],-0.4109599336430366,5.0,12.505824913278161,False,breakout,breakout_atr,1h,-5.650390369871093,170,25.0116,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000054,True,40.0,137.6603860040599,16.270019346613772,0.726,657,"['max_drawdown_pct', 'max_trades_per_day']",-1.5391998618554883,5.0,17.207550528901407,True,mean_reversion,rsi_bollinger_mr,1h,-14.575435359267717,248,34.4151,blocked_risk,"['max_drawdown_pct=16.27', 'risk_denial_rate=72.60%', 'safety_stop']"
ETH,99.99999999999977,True,40.0,5.716102644226914,11.40413364282061,0.0,0,[],-0.07783737992853708,5.0,0.7144898356516265,False,grid,grid,1h,-1.2731889497108113,23,1.429,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000068,True,40.0,99.57792318097414,15.577649782424144,0.8853,1343,['max_drawdown_pct'],-0.9257254661287903,5.0,12.447239343657998,True,ema_crossover,trend_ema_donchian,1h,-11.624101144705287,174,24.8945,blocked_risk,"['max_drawdown_pct=15.58', 'risk_denial_rate=88.53%', 'safety_stop']"
ETH,99.99999999999899,True,40.0,99.75851895172609,10.652503551742402,0.0,0,[],-0.45278032108027877,5.0,12.469827421727203,False,donchian_breakout,trend_ema_donchian,1h,-6.201729546777961,170,24.9396,blocked_costs,['cost_drag_pct=100.00']
ETH,99.99999999999974,True,40.0,117.94812159307143,21.511035486303843,0.9568,4736,['max_drawdown_pct'],-1.4641820780306776,5.0,14.743511143769922,True,rsi_mean_reversion,rsi_bollinger_mr,1h,-14.891308198622678,214,29.487,blocked_risk,"['max_drawdown_pct=21.51', 'risk_denial_rate=95.68%', 'safety_stop']"
ETH,99.99999999999974,True,40.0,137.82545629051577,21.600429354378992,0.9438,4198,['max_drawdown_pct'],-1.4629204755588292,5.0,17.228183449669814,True,bollinger_mean_reversion,rsi_bollinger_mr,1h,-14.940021134980611,250,34.4564,blocked_risk,"['max_drawdown_pct=21.60', 'risk_denial_rate=94.38%', 'safety_stop']"
ETH,99.99999999999946,True,40.0,64.5427814019404,5.896426506088372,0.0,0,[],-2.3654143995911197,5.0,8.067853054301764,False,atr_breakout,breakout_atr,1h,-5.109439380546519,110,16.1357,blocked_costs,['cost_drag_pct=100.00']
SOL,100.00000000000104,True,40.0,1.0005,67.02216073763881,0.9989,907,"['max_drawdown_pct', 'max_position_fraction']",0.28212235136459923,5.0,0.125,True,trend_following,trend_ema_donchian,1d,31.308432735723773,1,0.2501,insufficient_trades,['trade_count=1 < 5']
SOL,100.00000000000104,True,40.0,1.0005,67.5157553508636,0.9867,74,['max_drawdown_pct'],0.2870233873697605,5.0,0.125,True,breakout,breakout_atr,1d,32.6996098084041,1,0.2501,insufficient_trades,['trade_count=1 < 5']
SOL,99.99999999999628,True,40.0,2.9832706320461737,73.45184210684857,0.9983,1780,"['max_drawdown_pct', 'max_position_fraction']",0.34786601575537046,5.0,0.3728459064286085,True,mean_reversion,rsi_bollinger_mr,1d,53.337531312924234,3,0.7458,insufficient_trades,['trade_count=3 < 5']
