asset,cost_drag_pct,data_ok,fee_bps,fees_usd,grid_key,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
SOL,99.99999999999105,True,10.0,0.19784856127089873,fee10_slip0,67.24969531892587,0.8182,9,"['max_drawdown_pct', 'max_position_fraction']",0.3115359595824004,0.0,0.0,True,grid,grid,1d,41.29583082584284,2,0.1978,insufficient_trades,['trade_count=2 < 5']
SOL,99.99999999999731,True,10.0,0.6651958376740871,fee10_slip0,67.49218799625612,0.9967,919,"['max_drawdown_pct', 'max_position_fraction']",0.26023811047869083,0.0,0.0,True,ema_crossover,trend_ema_donchian,1d,23.732519655383204,3,0.6652,insufficient_trades,['trade_count=3 < 5']
SOL,100.0,True,10.0,0.25,fee10_slip0,67.49218799625612,0.9865,73,['max_drawdown_pct'],0.287240039694961,0.0,0.0,True,donchian_breakout,trend_ema_donchian,1d,32.78715980840411,1,0.25,insufficient_trades,['trade_count=1 < 5']
SOL,100.00000000000722,True,10.0,0.7461266900150433,fee10_slip0,75.66023453103546,0.9983,1777,"['max_drawdown_pct', 'max_position_fraction']",0.3745241961560853,0.0,0.0,True,rsi_mean_reversion,rsi_bollinger_mr,1d,64.8902179114014,3,0.7461,insufficient_trades,['trade_count=3 < 5']
SOL,100.00000000000719,True,10.0,0.7461266900150432,fee10_slip0,73.43149428032115,0.9983,1780,"['max_drawdown_pct', 'max_position_fraction']",0.34861509475033936,0.0,0.0,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,53.6929110697758,3,0.7461,insufficient_trades,['trade_count=3 < 5']
SOL,100.0,True,10.0,0.25,fee10_slip0,59.38238467718331,0.9994,1630,"['max_drawdown_pct', 'max_position_fraction']",0.2109596663610947,0.0,0.0,True,atr_breakout,breakout_atr,1d,14.657613812557202,1,0.25,insufficient_trades,['trade_count=1 < 5']
SOL,99.99999999998542,True,10.0,1.9047438645074588,fee10_slip0,54.88295220986982,0.9969,2872,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.5656626247761949,0.0,0.0,True,trend_following,trend_ema_donchian,4h,59.76822898622518,9,1.9047,insufficient_trades,['trade_count=9 < 10']
SOL,100.00000000000506,True,10.0,2.7056736329107256,fee10_slip0,55.50505039534336,0.9465,230,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.5676847951277741,0.0,0.0,True,breakout,breakout_atr,4h,60.59994579079403,13,2.7057,blocked_risk,"['max_drawdown_pct=55.51', 'risk_denial_rate=94.65%', 'safety_stop']"
SOL,100.00000000000225,True,10.0,53.786139373237184,fee10_slip0,11.89013718086981,0.0,0,[],0.19741558757518804,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,4h,4.3376115230036705,255,53.7861,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999998593,True,10.0,0.7632129244237894,fee10_slip0,3.2602090584378955,0.0,0,[],-0.8356283041697441,0.0,0.0,False,grid,grid,4h,-3.116706345372563,8,0.7632,insufficient_trades,['trade_count=8 < 10']
SOL,100.00000000000678,True,10.0,3.125703444879021,fee10_slip0,55.305851149473774,0.9946,2746,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.5737924598421646,0.0,0.0,True,ema_crossover,trend_ema_donchian,4h,61.84996473027845,15,3.1257,blocked_risk,"['max_drawdown_pct=55.31', 'risk_denial_rate=99.46%', 'safety_stop']"
SOL,100.00000000000506,True,10.0,2.7056736329107256,fee10_slip0,55.50505039534336,0.9458,227,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.5676847951277741,0.0,0.0,True,donchian_breakout,trend_ema_donchian,4h,60.59994579079403,13,2.7057,blocked_risk,"['max_drawdown_pct=55.51', 'risk_denial_rate=94.58%', 'safety_stop']"
SOL,100.0000000000015,True,10.0,45.38690239065204,fee10_slip0,14.490861780886943,0.0,0,[],0.053101725753473376,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,4h,0.18502458041768932,223,45.3869,blocked_costs,['cost_drag_pct=100.00']
SOL,100.0000000000015,True,10.0,51.83820657607474,fee10_slip0,11.737682526411337,0.0,0,[],0.3410586730530256,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,4h,8.389997792473673,247,51.8382,blocked_costs,['cost_drag_pct=100.00']
SOL,100.00000000000402,True,10.0,13.569530340442247,fee10_slip0,3.256987837212573,0.0,0,[],-0.5412173881820627,0.0,0.0,False,atr_breakout,breakout_atr,4h,-1.9999061723253477,68,13.5695,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999999662,True,10.0,27.275918494152382,fee10_slip0,10.090542928416731,0.0,0,[],0.13157472366208617,0.0,0.0,False,trend_following,trend_ema_donchian,1h,1.55697621438635,174,27.2759,blocked_costs,['cost_drag_pct=100.00']
SOL,100.00000000000139,True,10.0,27.353114419279944,fee10_slip0,14.963914546072326,0.0056,1,['max_daily_loss_pct'],-0.08233517852954735,0.0,0.0,True,breakout,breakout_atr,1h,-2.1492521013598433,178,27.3531,blocked_risk,['safety_stop']
SOL,100.00000000000011,True,10.0,53.01278775441841,fee10_slip0,12.534842114723999,0.0,0,[],-0.6184978279293982,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,1h,-8.527930816936077,362,53.0128,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999998992,True,10.0,1.6360749269462702,fee10_slip0,9.805612570320308,0.037,1,['max_trades_per_day'],-0.042923409449825055,0.0,0.0,False,grid,grid,1h,-1.2491282323132509,26,1.6361,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999999544,True,10.0,27.164442102724717,fee10_slip0,13.602691881053348,0.0,0,[],-0.10965640580265613,0.0,0.0,False,ema_crossover,trend_ema_donchian,1h,-2.6110476675344443,176,27.1644,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999999676,True,10.0,26.40314255527988,fee10_slip0,15.05307931308589,0.0057,1,['max_daily_loss_pct'],-0.1566242773566766,0.0,0.0,True,donchian_breakout,trend_ema_donchian,1h,-3.3769721476530097,174,26.4031,blocked_risk,"['max_drawdown_pct=15.05', 'safety_stop']"
SOL,99.9999999999992,True,10.0,83.37201709293517,fee10_slip0,11.619968165084286,0.0,0,[],-0.6802479693744096,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1h,-9.821194813845523,574,83.372,blocked_costs,['cost_drag_pct=100.00']
SOL,99.99999999999905,True,10.0,102.3952411825051,fee10_slip0,14.162691161296765,0.0,0,[],-0.6682668781382134,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1h,-9.180181560016546,692,102.3952,blocked_costs,['cost_drag_pct=100.00']
SOL,100.00000000000271,True,10.0,12.839201089961312,fee10_slip0,1.8192740811162904,0.0,0,[],-0.437228294136438,0.0,0.0,False,atr_breakout,breakout_atr,1h,-1.2018739851191071,86,12.8392,blocked_costs,['cost_drag_pct=100.00']
BTC,99.99999999998721,True,10.0,0.997512361278759,fee10_slip5,28.27385868320185,0.9956,911,"['max_drawdown_pct', 'max_position_fraction']",0.031205324985353777,5.0,0.4987557885986007,True,trend_following,trend_ema_donchian,1d,-0.3064430999224214,4,0.9975,insufficient_trades,['trade_count=4 < 5']
